filename,x,y
hit_160945_202_S20_fused_motion_raw.png,100.6667,68.6667
hit_160947_078_S18_fused_motion_raw.png,106.3333,74.0000
hit_161000_858_S5_fused_motion_raw.png,97.3333,90.6667
hit_161002_267_S1_fused_motion_raw.png,114.6667,72.3333
hit_161017_508_S10_fused_motion_raw.png,108.6667,102.0000
hit_161018_390_S5_fused_motion_raw.png,95.0000,75.3333
hit_161047_635_MISS_fused_motion_raw.png,0.3333,100.3333
hit_161048_907_D9_fused_motion_raw.png,31.6667,62.6667
hit_161102_967_S7_fused_motion_raw.png,67.6667,157.3333
hit_161104_378_S9_fused_motion_raw.png,40.3333,52.3333
hit_161128_895_S15_fused_motion_raw.png,154.6667,139.6667
hit_161130_014_S2_fused_motion_raw.png,156.3333,151.0000
hit_161143_663_MISS_fused_motion_raw.png,100.0000,68.3333
hit_161144_871_S17_fused_motion_raw.png,106.6667,110.0000
hit_161146_377_S16_fused_motion_raw.png,93.0000,105.0000
hit_161201_328_S6_fused_motion_raw.png,150.6667,80.6667
hit_161202_731_S6_fused_motion_raw.png,135.3333,106.3333
hit_161218_722_S9_fused_motion_raw.png,67.0000,82.0000
hit_161220_315_S2_fused_motion_raw.png,131.6667,150.0000
hit_161235_452_D11_fused_motion_raw.png,24.6667,85.3333
hit_161250_590_S4_fused_motion_raw.png,156.3333,65.3333
hit_161251_766_S13_fused_motion_raw.png,127.0000,92.0000
hit_161317_317_S12_fused_motion_raw.png,70.6667,46.3333
hit_161318_722_T5_fused_motion_raw.png,84.3333,50.3333
hit_161339_673_S14_fused_motion_raw.png,45.3333,93.0000
hit_161340_985_T8_fused_motion_raw.png,52.3333,111.3333
hit_161358_191_B25_fused_motion_raw.png,101.6667,93.6667
hit_161359_972_S10_fused_motion_raw.png,142.0000,110.3333
hit_161428_561_S9_fused_motion_raw.png,42.0000,67.3333
hit_161443_521_S10_fused_motion_raw.png,157.0000,105.0000
hit_161445_020_MISS_fused_motion_raw.png,145.6667,101.3333
hit_161459_778_S13_fused_motion_raw.png,164.6667,85.0000
hit_161501_234_S10_fused_motion_raw.png,140.0000,116.6667
hit_161533_257_T18_fused_motion_raw.png,81.6667,78.6667
hit_161534_705_S20_fused_motion_raw.png,101.0000,68.3333
hit_161536_014_S18_fused_motion_raw.png,106.0000,73.6667
hit_161553_641_S5_fused_motion_raw.png,97.3333,90.0000
hit_161554_771_S1_fused_motion_raw.png,114.0000,72.3333
